user1_class,user1_level,user2_class,user2_level,user3_class,user3_level,user4_class,user4_level,cleartime
4,1600.00 ,21,1582.50 ,7,1580.83 ,5,1588.33 ,277
4,1600.00 ,5,1591.67 ,1,1580.00 ,14,1582.50 ,327
4,1600.00 ,10,1590.00 ,5,1600.00 ,21,1586.67 ,262
4,1600.00 ,10,1605.00 ,3,1580.00 ,18,1592.50 ,293
4,1600.00 ,14,1600.00 ,1,1604.17 ,19,1607.50 ,204
0,1585.83 ,14,1582.50 ,13,1602.50 ,12,1585.83 ,258
10,1600.00 ,11,1600.00 ,14,1586.67 ,13,1605.00 ,259
14,1590.00 ,11,1580.00 ,1,1601.67 ,4,1586.67 ,261
6,1590.83 ,20,1594.17 ,8,1582.50 ,14,1590.00 ,374
4,1600.00 ,20,1604.17 ,18,1590.83 ,14,1581.67 ,260
4,1600.00 ,7,1600.00 ,14,1580.83 ,17,1589.17 ,230
14,1590.00 ,12,1595.00 ,5,1595.00 ,1,1588.33 ,321
6,1590.83 ,14,1597.50 ,10,1600.00 ,13,1610.00 ,263
6,1590.83 ,4,1594.17 ,14,1602.50 ,7,1587.50 ,290
10,1600.00 ,2,1604.17 ,11,1598.33 ,14,1608.33 ,239
14,1590.00 ,19,1583.33 ,15,1584.17 ,6,1598.33 ,279
6,1590.83 ,13,1592.50 ,18,1589.17 ,14,1582.50 ,247
10,1600.00 ,13,1606.67 ,14,1594.17 ,0,1603.33 ,224
14,1590.00 ,5,1586.67 ,0,1580.00 ,1,1580.00 ,309
21,1590.00 ,13,1610.00 ,15,1600.00 ,0,1595.83 ,210
4,1600.00 ,14,1583.33 ,5,1603.33 ,20,1602.50 ,260
10,1600.00 ,13,1595.83 ,5,1589.17 ,3,1591.67 ,260
6,1591.67 ,17,1587.50 ,14,1592.50 ,22,1585.00 ,338
10,1600.00 ,13,1593.33 ,3,1600.00 ,12,1585.83 ,240
6,1591.67 ,3,1585.83 ,2,1596.67 ,18,1595.83 ,266
4,1600.00 ,20,1580.00 ,14,1581.67 ,19,1583.33 ,275
0,1585.83 ,8,1595.00 ,18,1600.83 ,3,1583.33 ,276
10,1600.00 ,6,1605.00 ,13,1590.00 ,3,1594.17 ,258
6,1591.67 ,17,1595.00 ,5,1582.50 ,14,1580.00 ,265
4,1600.00 ,8,1593.33 ,14,1588.33 ,19,1589.17 ,252
10,1600.00 ,4,1600.00 ,5,1586.67 ,3,1582.50 ,231
0,1585.83 ,14,1602.50 ,19,1587.50 ,5,1589.17 ,231
6,1591.67 ,7,1600.00 ,21,1593.33 ,22,1603.33 ,253
10,1600.00 ,13,1595.00 ,14,1588.33 ,17,1585.00 ,251
6,1591.67 ,14,1595.83 ,4,1590.00 ,1,1610.83 ,239
4,1600.00 ,14,1601.67 ,15,1585.83 ,12,1603.33 ,262
0,1587.50 ,14,1602.50 ,12,1601.67 ,5,1589.17 ,224
4,1600.00 ,3,1597.50 ,13,1594.17 ,20,1655.00 ,220
4,1600.00 ,7,1595.00 ,19,1593.33 ,3,1580.00 ,273
4,1600.00 ,13,1590.00 ,22,1601.67 ,21,1592.50 ,259
10,1600.00 ,21,1590.00 ,9,1589.17 ,18,1600.00 ,270
6,1592.50 ,17,1591.67 ,16,1585.00 ,21,1591.67 ,266
10,1600.00 ,13,1597.50 ,17,1605.00 ,21,1591.67 ,227
6,1592.50 ,2,1602.50 ,7,1592.50 ,21,1581.67 ,271
4,1600.00 ,14,1584.17 ,17,1600.00 ,13,1597.50 ,273
0,1587.50 ,12,1586.67 ,15,1601.67 ,21,1581.67 ,214
10,1600.00 ,14,1583.33 ,13,1596.67 ,7,1589.17 ,277
6,1592.50 ,4,1600.00 ,14,1595.00 ,0,1582.50 ,236
10,1600.00 ,21,1602.50 ,19,1600.00 ,0,1609.17 ,213
6,1592.50 ,14,1595.00 ,16,1596.67 ,7,1597.50 ,255
10,1600.00 ,17,1608.33 ,4,1595.00 ,21,1581.67 ,221
6,1592.50 ,19,1585.00 ,4,1594.17 ,14,1593.33 ,303
10,1600.00 ,14,1600.00 ,13,1602.50 ,15,1580.00 ,248
6,1592.50 ,8,1585.00 ,2,1607.50 ,14,1585.00 ,275
0,1587.50 ,14,1605.00 ,19,1591.67 ,5,1593.33 ,238
0,1587.50 ,13,1589.17 ,18,1587.50 ,14,1600.00 ,290
6,1592.50 ,9,1585.83 ,14,1602.50 ,1,1597.50 ,290
10,1602.50 ,2,1605.83 ,21,1581.67 ,16,1601.67 ,250
10,1602.50 ,15,1601.67 ,8,1600.83 ,21,1600.00 ,228
6,1592.50 ,14,1605.00 ,5,1601.67 ,8,1607.50 ,218
10,1602.50 ,7,1596.67 ,5,1607.50 ,14,1600.00 ,229
6,1592.50 ,21,1580.83 ,17,1594.17 ,7,1592.50 ,274
10,1602.50 ,14,1620.83 ,9,1603.33 ,1,1600.83 ,259
6,1592.50 ,14,1583.33 ,4,1588.33 ,13,1595.83 ,241
6,1592.50 ,7,1600.00 ,5,1593.33 ,14,1580.83 ,256
10,1602.50 ,3,1602.50 ,4,1605.83 ,16,1595.83 ,202
6,1592.50 ,13,1611.67 ,17,1587.50 ,21,1590.00 ,231
10,1602.50 ,4,1603.33 ,5,1589.17 ,14,1595.00 ,241
6,1592.50 ,7,1605.00 ,2,1600.83 ,14,1593.33 ,273
10,1602.50 ,17,1603.33 ,14,1583.33 ,12,1600.00 ,269
6,1592.50 ,19,1594.17 ,3,1588.33 ,7,1594.17 ,255
